"spec" "x" "y" "age" "loc_id" "optional"
"502" "Dorcatherium_naui" 15.8 48.83 10.1 "a3646" TRUE
"503" "Hippopotamodon_antiquus" 31.98 40.97 10.1 "a1588" TRUE
"504" "Hippopotamodon_antiquus" 31.92 40.93 10.1 "a3817" TRUE
"505" "Listriodon_splendens" 1.1 41.78 10.1 "a41" TRUE
"506" "Microstonyx_erymanthius" 1.1 41.78 10.1 "a41" TRUE
"507" "Propotamochoerus_palaeochoerus" 16.36 47.67 10.1 "a4766" TRUE
"508" "Aceratherium_incisivum" 1.1 41.78 10.1 "a41" TRUE
"509" "Aceratherium_incisivum" 16.19 47.87 10.1 "a42" TRUE
"510" "Acerorhinus_zernowi" 22.62 40.61 10.1 "a91" TRUE
"511" "Ceratotherium_neumayri" 31.98 40.97 10.1 "a1588" TRUE
"512" "Ceratotherium_neumayri" 22.62 40.61 10.1 "a91" TRUE
"513" "Chilotherium_habereri" 107.06 33.85 10.1 "a3240" TRUE
"514" "Chilotherium_habereri" 107.36 33.95 10.1 "a3241" TRUE
"515" "Chilotherium_kiliasi" 22.62 40.61 10.1 "a91" TRUE
"516" "Dihoplus_schleiermacheri" 22.72 41.69 10.1 "a3801" TRUE
"517" "Stephanorhinus_orientalis" 107.06 33.85 10.1 "a4629" TRUE
"518" "Stephanorhinus_pikermiensis" 107.36 33.95 10.1 "a3241" TRUE
"521" "Dinocrocuta_gigantea" 22.72 41.44 10.1 "a3814" TRUE
"522" "Dinocrocuta_gigantea" 22.62 40.61 10.1 "a91" TRUE
"523" "Dinocrocuta_senyureki" 31.98 40.97 10.1 "a1588" TRUE
"524" "Dinocrocuta_senyureki" 31.92 40.93 10.1 "a3817" TRUE
"525" "Percrocuta_minor" 31.98 40.97 10.1 "a1588" TRUE
"526" "Schizochoerus_vallesiensis" 31.98 40.97 10.1 "a1588" TRUE
"527" "Barbourofelis_piveteaui" 31.98 40.97 10.1 "a1588" TRUE
"528" "Mesomephitis_medius" 16.36 47.67 10.1 "a4766" TRUE
"529" "Micromeryx_flourensianus" 1.1 41.78 10.1 "a41" TRUE
"530" "Hyaenictis_graeca" 1.1 41.78 10.1 "a41" TRUE
"531" "Ictitherium_intuberculatum" 31.98 40.97 10.1 "a1588" TRUE
"532" "Tetralophodon_exoletus" 107.36 33.95 10.1 "a3241" TRUE
"533" "Tetralophodon_exoletus" 107.06 33.85 10.1 "a4629" TRUE
"534" "Tetralophodon_exoletus" 107.06 33.85 10.1 "a4630" TRUE
"535" "Tetralophodon_longirostris" 1.1 41.78 10.1 "a41" TRUE
"536" "Tetralophodon_longirostris" 16.19 47.87 10.1 "a42" TRUE
"537" "Bohlinia_attica" 31.98 40.97 10.1 "a1905" TRUE
"538" "Palaeotragus_coelophrys" 31.94 40.94 10.1 "a6394" TRUE
"539" "Palaeotragus_coelophrys" 22.62 40.61 10.1 "a91" TRUE
"540" "Palaeotragus_microdon" 107.06 33.85 10.1 "a3240" TRUE
"541" "Palaeotragus_microdon" 107.36 33.95 10.1 "a3241" TRUE
"542" "Palaeotragus_moldavicus" 28.05 47.4 10.1 "a6401" TRUE
"543" "Samotherium_pamiri" 31.98 40.97 10.1 "a1588" TRUE
"545" "Pseudaelurus_lorteti" 31.98 40.97 10.1 "a1588" TRUE
"546" "Hipparion_catalaunicum" 1.1 41.78 10.1 "a41" TRUE
"547" "Hipparion_chiai" 107.06 33.85 10.1 "a3240" TRUE
"548" "Hipparion_chiai" 107.36 33.95 10.1 "a3241" TRUE
"549" "Hipparion_chiai" 107.06 33.85 10.1 "a4629" TRUE
"550" "Hipparion_chiai" 107.06 33.85 10.1 "a4630" TRUE
"551" "Hipparion_chiai" 107.06 33.85 10.1 "a4631" TRUE
"552" "Hipparion_dermatorhinum" 107.06 33.85 10.1 "a4629" TRUE
"553" "Hipparion_weihoense" 107.06 33.85 10.1 "a3240" TRUE
"554" "Hipparion_weihoense" 107.36 33.95 10.1 "a3241" TRUE
